cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
388.6,97.1,0,0,0,0,0,157.9,12.1,852.1,925.7,0,56,55.2,0,485.7,0.325097796
531.3,0,0,0,0,0,0,141.8,28.2,852.1,893.7,0,56,58.8,0,531.3,0.266892527
425,106.3,0,0,0,0,0,153.5,16.5,852.1,887.1,0,56,64.3,0,531.3,0.288913984
318.8,212.5,0,0,0,0,0,155.7,14.3,852.1,880.4,0,56,66.1,0,531.3,0.293054771
401.8,94.7,0,0,0,0,0,147.4,11.4,946.8,852.1,0,56,73.7,0,496.5,0.296878146
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,56,77.3,0,551.6,0.298948513
323.7,282.8,0,0,0,0,0,183.8,10.3,942.7,659.9,0,56,80.2,0,606.5,0.303050288
379.5,151.2,0,0,0,0,0,153.9,15.9,1134.3,605,0,56,54.9,0,530.7,0.289994347
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,56,77.3,0,551.6,0.298948513
286.3,200.9,0,0,0,0,0,144.7,11.2,1004.6,803.7,0,56,72.99,0,487.2,0.297003283
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,56,77.3,0,551.6,0.298948513
439,177,0,0,0,0,0,186,11.1,884.9,707.9,0,56,71.7,0,616,0.301948051
389.9,189,0,0,0,0,0,145.9,22,944.7,755.8,0,56,79.4,0,578.9,0.252029711
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,56,77.3,0,551.6,0.298948513
337.9,189,0,0,0,0,0,174.9,9.5,944.7,755.8,0,56,59.89,0,526.9,0.331941544
374,189.2,0,0,0,0,0,170.1,10.1,926.1,756.7,0,91,64.9,0,563.2,0.302024147
313.3,262.2,0,0,0,0,0,175.5,8.6,1046.9,611.8,0,91,66.6,0,575.5,0.304952215
425,106.3,0,0,0,0,0,153.5,16.5,852.1,887.1,0,91,65.2,0,531.3,0.288913984
