cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
165.0,0.0,385.0,0.0,0.0,0.0,0.0,172.0,4.4,972.0,544.0,0,14,6.5,0,550.0,0.3127272721586777
385.0,0.0,165.0,0.0,0.0,0.0,0.0,148.0,6.05,985.0,550.0,0,28,30.0,0,550.0,0.2690909086016529
275.0,0.0,275.0,0.0,0.0,0.0,0.0,146.0,5.5,978.0,547.0,0,28,38.0,0,550.0,0.26545454497190085
165.0,0.0,385.0,0.0,0.0,0.0,0.0,172.0,4.4,972.0,544.0,0,28,10.0,0,550.0,0.3127272721586777
385.0,0.0,165.0,0.0,0.0,0.0,0.0,148.0,6.05,985.0,550.0,0,56,42.0,0,550.0,0.2690909086016529
275.0,0.0,275.0,0.0,0.0,0.0,0.0,146.0,5.5,978.0,547.0,0,56,45.0,0,550.0,0.26545454497190085
165.0,0.0,385.0,0.0,0.0,0.0,0.0,172.0,4.4,972.0,544.0,0,56,18.0,0,550.0,0.3127272721586777
385.0,165.0,0.0,0.0,0.0,0.0,0.0,155.0,6.6,963.0,539.0,0,7,33.0,0,550.0,0.2818181813057851
275.0,275.0,0.0,0.0,0.0,0.0,0.0,162.0,6.05,944.0,528.0,0,7,40.0,0,550.0,0.2945454540099174
165.0,385.0,0.0,0.0,0.0,0.0,0.0,172.0,4.4,924.0,516.0,0,7,31.0,0,550.0,0.3127272721586777
385.0,165.0,0.0,0.0,0.0,0.0,0.0,155.0,6.6,963.0,539.0,0,14,48.0,0,550.0,0.2818181813057851
275.0,275.0,0.0,0.0,0.0,0.0,0.0,162.0,6.05,944.0,528.0,0,14,46.0,0,550.0,0.2945454540099174
165.0,385.0,0.0,0.0,0.0,0.0,0.0,172.0,4.4,924.0,516.0,0,14,43.0,0,550.0,0.3127272721586777
385.0,165.0,0.0,0.0,0.0,0.0,0.0,155.0,6.6,963.0,539.0,0,28,53.0,0,550.0,0.2818181813057851
275.0,275.0,0.0,0.0,0.0,0.0,0.0,162.0,6.05,944.0,528.0,0,28,51.0,0,550.0,0.2945454540099174
165.0,385.0,0.0,0.0,0.0,0.0,0.0,172.0,4.4,924.0,516.0,0,28,45.0,0,550.0,0.3127272721586777
385.0,165.0,0.0,0.0,0.0,0.0,0.0,155.0,6.6,963.0,539.0,0,56,60.0,0,550.0,0.2818181813057851
275.0,275.0,0.0,0.0,0.0,0.0,0.0,162.0,6.05,944.0,528.0,0,56,58.0,0,550.0,0.2945454540099174
165.0,385.0,0.0,0.0,0.0,0.0,0.0,172.0,4.4,924.0,516.0,0,56,47.0,0,550.0,0.3127272721586777
509.0,0.0,0.0,41.0,0.0,0.0,0.0,221.0,4.4,989.0,553.0,0,7,37.5,0,550.0,0.4018181810876033
468.0,0.0,0.0,82.0,0.0,0.0,0.0,197.0,6.05,985.0,550.0,0,7,34.0,0,550.0,0.35818181753057854
509.0,0.0,0.0,41.0,0.0,0.0,0.0,221.0,4.4,989.0,553.0,0,14,40.0,0,550.0,0.4018181810876033
468.0,0.0,0.0,82.0,0.0,0.0,0.0,197.0,6.05,985.0,550.0,0,14,43.0,0,550.0,0.35818181753057854
509.0,0.0,0.0,41.0,0.0,0.0,0.0,221.0,4.4,989.0,553.0,0,28,37.0,0,550.0,0.4018181810876033
