Number,Delivery batch time [Qualitative],Curing temperature days 2-28 in °C,Curing class days 2-28 [Qualitative],Ingredient moisture in Kg/(15 liter),Sand type I in Kg/(15 liter),Sand type II in Kg/(15 liter),Filler type I in Kg/(15 liter),Filler type II in Kg/(15 liter),Superplasticizer in Kg/(15 liter),Curing temperature day 1 in °C,Curing class day 1 [Qualitative],Ingredient temperature  in °C,Graphite in Kg/(15 liter),Average electrical power consumption (mixing process) in kW,Temperature (fresh state) in °C,Electrical conductivity (fresh state),Air content (fresh state) in %,Slump flow (fresh state) in s,Funnel runtime (fresh state) in s,Compressive strength day 1 in MPa,Compressive strength day 28 in MPa,Flexural strength day 1 in MPa,Flexural strength day 28 in MPa
22,1,40,2,2.925,6.9,8.925,6.9,0.638,0.355,10,2,30,0.09,1.130967742,27,1899,3.1,300,12,33.41666667,124.7533333,5.026666667,20.1
23,1,40,2,3.159,6,10.5,5.1,0.863,0.339,30,2,40,0.135,0.635976676,28.9,1898.333333,3.1,315,9,55.29,116.1333333,8.156666667,19.52666667
24,1,40,2,3.276,5.4,11.55,6,0.75,0.29,40,2,10,0.225,1.020454545,19.9,1891,1.15,380,6,59.735,119.0733333,8.03,18.58666667
25,1,40,2,3.364,6.3,9.975,6.6,0.675,0.323,20,1,20,0.045,1.157348703,23.2,1918.333333,0.9,355,6,42.79833333,124.6016667,6.806666667,20.33
26,1,20,1,3.042,6.9,8.925,5.7,0.788,0.339,30,2,20,0.225,,21.2,1877.666667,1.4,367.5,5,65.53666667,108.75,7.84,11.16
27,1,20,1,2.925,6,10.5,6.9,0.638,0.29,40,2,25,0.045,1.123899614,29.1,1887,2.9,290,14,98.23,118.67,10.77333333,12.68
28,1,20,1,3.159,5.4,11.55,5.1,0.863,0.323,20,1,30,0,0.704962825,26.9,1897.333333,7,357.5,5,57.68333333,123.5,8.506666667,8.15
29,1,20,1,3.276,6.3,9.975,6,0.75,0.306,20,2,40,0.09,1.123899614,31.4,1891.666,2.4,280,11,52.625,115.79,8.393333333,14.22
30,1,20,1,3.364,5.1,12.075,6.6,0.675,0.355,10,2,10,0.135,0.977,19.8,1888.333333,1,372.5,6,13.35833333,95.85333333,2.673333333,8.983333333
31,1,20,2,3.042,6,10.5,5.1,0.863,0.306,10,2,30,0.225,0.811378299,28.9,1894,1.1,375,5,28.17,98.83833333,5.245,14.23333333
32,1,20,2,2.925,5.4,11.55,6,0.75,0.355,30,2,40,0.045,0.08,31.5,1880.333333,3.3,215,10,54.73833333,101.8883333,8.27,16.56333333
33,1,20,2,3.159,6.3,9.975,6.6,0.675,0.339,40,2,10,0,1.072788845,18.1,1869.333333,1.1,352.5,8,68.70833333,106.4916667,7.78,15.74333333
34,1,20,2,3.276,5.1,12.075,5.7,0.788,0.29,20,2,20,0.09,0.805133588,24.1,1873,1.2,365,5,45.775,112.67,7.793333333,17.46666667
35,1,20,2,3.364,6.9,8.925,6.9,0.638,0.323,20,2,25,0.135,0.628215297,27.3,1879.333333,0.9,370,8,52.35,111.4916667,6.46,17.87666667
36,1,10,2,3.042,5.4,11.55,6.6,0.675,0.29,20,2,40,0.135,1.02952919,31.9,1886.333333,6.6,120,15,48.44833333,73.725,7.606666667,12.74333333
37,1,10,2,2.925,6.3,9.975,5.7,0.788,0.323,10,2,10,0.225,0.84756447,19.9,1888.666667,4.4,325,12,14.10166667,102.3333333,3.12,13.58333333
38,1,10,2,3.159,5.1,12.075,6.9,0.638,0.306,30,2,20,0.045,0.484359606,27,1880,1.1,340,11,63.165,93.74333333,6.843333333,13.07
39,1,10,2,3.276,6.9,8.925,5.1,0.863,0.355,40,2,25,0,0.869306358,26.7,1943.666667,0.55,370,4,68.30833333,85.06666667,7.103333333,13.315
40,1,10,2,3.364,6,10.5,6,0.75,0.339,20,1,30,0.09,0.704962825,29.7,1887.666667,1.05,342.5,6,49.675,93.05833333,7.75,13.40666667
41,1,30,2,3.042,6.3,9.975,6.9,0.638,0.355,20,1,40,0,1.492586207,37.3,1895,,85,,6.653333333,6.03,1.2,1.42
42,1,30,2,2.925,5.1,12.075,5.1,0.863,0.339,20,2,10,0.09,1.40228739,21.3,1935.333333,0.8,332.5,8,53.825,135.4783333,7.953333333,24.57333333
43,1,30,2,3.159,6.9,8.925,6,0.75,0.29,30,2,20,0.135,1.045669291,20.8,1892,0.75,327.5,8,58.36333333,122.6333333,7.063333333,21.25333333
44,1,30,2,3.276,6,10.5,6.6,0.675,0.323,30,2,25,0.225,0.968568738,25.6,1860,1.2,345,7,61.04833333,117.936,8.48,20.75666667
45,1,30,2,3.364,5.4,11.55,5.7,0.788,0.306,40,2,30,0.045,0.574154728,25.8,1938.333333,0.4,355,6,69.29166667,101.5883333,8.346666667,18.53
46,1,40,2,3.042,5.1,12.075,6,0.75,0.323,40,2,30,0.135,1.305857988,29.6,1940.666667,5.1,250,10,68.06,123.3383333,10.30333333,18.69333333
47,1,40,2,2.925,6.9,8.925,6.6,0.675,0.306,20,1,40,0.225,1.292702703,30.28,1935.333333,2.3,420,20,55.30666667,114.53,8.5,22.40333333
48,1,40,2,3.159,6,10.5,5.7,0.788,0.355,20,2,10,0.045,0.759257143,18.9,1880.666667,0.58,380,4,51.565,123.46,6.853333333,21.52666667
49,1,40,2,3.276,5.4,11.55,6.9,0.638,0.339,10,2,20,0,0.628005698,21.8,1896.333333,0.7,372.5,6,12.56166667,127.17,1.98,22.04333333
50,1,40,2,3.364,6.3,9.975,5.1,0.863,0.29,30,2,25,0.09,0.773929619,27.8,1879,1.1,390,5,60.27833333,117.3966667,6.906666667,21.37
51,2,20,2,3.042,5.1,12.075,5.7,0.788,0.339,30,2,10,0.135,1.097538462,24.2,1889.666667,1.5,332.5,6,67.21833333,115.04,9.653333333,19.11333333
52,2,10,2,3.364,6,10.5,6.9,0.638,0.339,40,2,40,0.045,1.072338462,33.3,1889.333333,1.4,342.5,7,68.265,85.70166667,8.946666667,14.77333333
53,2,20,2,3.364,6.9,8.925,5.7,0.788,0.29,20,1,10,0,0.909538462,24.3,1888,1.4,370,4,57.98666667,100.47,7.713333333,15.48
54,2,40,2,3.042,6.9,8.925,5.7,0.788,0.306,20,2,40,0.045,1.085446154,31.2,1888.666667,1.4,327.5,8,55.85333333,126.5933333,8.093333333,19.38666667
55,2,20,1,3.042,5.1,12.075,5.1,0.863,0.323,30,2,10,0.225,1.062861538,25.5,1890.333333,1.4,340,6,62.775,106.1866667,9.616666667,10.70333333
56,2,20,1,2.925,6.9,8.925,5.1,0.863,0.339,20,1,10,0.135,1.166769231,22.1,1890,1.6,325,9,65.65666667,112.77,8.916666667,10.88333333
57,2,40,2,3.042,6,10.5,5.1,0.863,0.323,20,1,25,0.225,1.213876923,25.6,1890,1.5,327.5,9,54.625,108.3633333,8.693333333,18.44666667
58,2,20,1,3.364,6,10.5,6,0.75,0.355,30,2,20,0.225,0.984984615,24.9,1875.333333,1.4,350,6,50.94666667,112.2283333,6.69,10.27
59,2,40,2,3.276,6.9,8.925,5.7,0.788,0.323,40,2,20,0.225,1.049046154,24.9,1888.333333,1.6,355,6,67.70666667,105.1166667,7.536666667,16.31
60,2,20,2,3.364,6.9,8.925,5.1,0.863,0.29,20,1,20,0.135,0.881261538,26.6,1892,1.3,347.5,6,49.70666667,111.3983333,7.516666667,17.29666667
61,2,30,2,2.925,6.3,9.975,6.9,0.638,0.339,30,2,40,0.045,1.346738462,31.3,1888,1.7,295,9,60.65333333,114.4083333,7.64,19.48333333
62,2,20,1,3.276,6.3,9.975,6.9,0.638,0.355,20,2,40,0.045,1.085507692,32.6,1884,1.5,330,7,51.95833333,117.5233333,7.72,12.82666667
63,2,40,2,2.925,6.9,8.925,5.1,0.863,0.29,40,2,25,0.135,1.138646154,26,1890.333333,1.7,315,9,77.415,126.31,8.506666667,20.08666667
64,2,20,1,3.042,5.4,11.55,5.1,0.863,0.29,30,2,30,0.135,1.124892308,28.8,1888.666667,1.5,332.5,6,66.17833333,118.125,9.053333333,12.71
65,2,20,1,3.364,5.1,12.075,6,0.75,0.29,10,2,10,0.09,1.026676923,21,1892.666667,1.4,345,7,40.23,112.525,4.506666667,11.41666667
66,2,30,2,3.276,5.1,12.075,6.9,0.638,0.323,20,1,25,0.045,1.226523077,28.8,1886,1.4,340,7,76.41666667,110.7566667,11.05333333,18.55666667
67,2,10,2,3.042,6.9,8.925,6.9,0.638,0.323,40,2,10,0.045,1.237046154,26.4,1891.666667,1.6,342.5,7,77.40166667,94.86166667,8.28,16.15333333
68,2,20,1,3.364,6.3,9.975,5.7,0.788,0.29,20,2,20,0,1.397507692,24.3,1890,1.4,360,5,54.605,112.435,7.15,12.94
